"c","t","v","h","l","o"
1.0376236,1575676800,5271.129,1.038959,1.0341799,1.0367916
1.0378885,1575680400,5302.12350337,1.03999891,1.034155,1.0373303
1.0363369,1575684000,5169.456,1.0392873,1.0343371,1.0371046
1.0351471,1575687600,5328.639,1.0393421,1.0343278,1.0365312
1.0361676,1575691200,5341.68165,1.0390807,1.03350003,1.0372362
1.038583,1575694800,5484.006,1.0393238,1.0344235,1.0347163
1.038,1575698400,5267.2709104,1.0390327,1.034432,1.0360077
1.038082,1575702000,6173.90229559,1.041,1.0347545,1.0391281
1.0363193,1575705600,5665.714,1.0404988,1.033,1.0385801
1.0382281,1575709200,5217.948,1.0409451,1.0340331,1.0374019
1.0349813,1575712800,5494.15246828,1.042,1.0330001,1.0390137
1.0363568,1575716400,5244.035,1.0404433,1.03300012,1.0341006
1.0345948,1575720000,5311.00102173,1.03999998,1.0338081,1.037444
1.035879,1575723600,5550.14736056,1.03888,1.0337359,1.0338245
1.0360895,1575727200,5435.56788722,1.042,1.0354296,1.037916
1.04199999,1575730800,5312.62047253,1.04199999,1.0358054,1.0385949
1.04011,1575734400,6522.21944437,1.04199999,1.034,1.0392214
1.0386702,1575738000,5331.06335523,1.0401751,1.0347887,1.0366241
1.0384801,1575741600,5284.638,1.0402733,1.0348142,1.0390893
1.0376398,1575745200,5361.759,1.0403941,1.0350911,1.0391339
1.0397132,1575748800,5543.15219912,1.0419999,1.036,1.0366313
1.0401007,1575752400,5308.939,1.04199989,1.035804,1.0413759
1.0386636,1575756000,5511.22064527,1.04199989,1.0365586,1.0367869
1.0376008,1575759600,5083.54962995,1.04199989,1.0366756,1.0376104
1.0385423,1575763200,5373.918,1.0413765,1.0366311,1.0401647
1.0370305,1575766800,5412.249,1.0413433,1.036655,1.0398203
1.0410373,1575770400,5380.038,1.0411766,1.0364863,1.0393824
1.0407645,1575774000,5692.97794111,1.0412988,1.035764,1.0376405
1.0384766,1575777600,5262.60046365,1.04199989,1.035781,1.0384472
1.0376143,1575781200,5084.45680525,1.0410815,1.03401,1.0360852
1.0377652,1575784800,5439.6155658,1.0390992,1.03401,1.0384242
1.0362942,1575788400,5661.04974232,1.03959219,1.03400002,1.0354781
1.0386912,1575792000,5452.56,1.0389638,1.03550002,1.0363381
1.0386192,1575795600,5463.23780924,1.03959219,1.0346115,1.0379825
1.0363231,1575799200,5514.70378431,1.03959218,1.03400002,1.0371451
1.0379851,1575802800,5254.533,1.0389707,1.0346413,1.0357171
1.036976,1575806400,5479.60592662,1.038592,1.034,1.0345504
1.0360163,1575810000,5640.00729408,1.0374724,1.03309551,1.0369502
1.0354879,1575813600,5760.74589387,1.0390355,1.0337984,1.0362402
1.0341562,1575817200,5473.27616347,1.03807987,1.0340749,1.037234
1.0356045,1575820800,5330.96712635,1.0381342,1.0346198,1.037449
1.0359066,1575824400,5528.58971784,1.03959219,1.0337266,1.0371673
1.0352304,1575828000,5377.9668187,1.03861437,1.03400003,1.0353204
1.035311,1575831600,5396.72364239,1.03879322,1.0351134,1.0357217
1.0356411,1575835200,5259.74217625,1.03879323,1.03454289,1.0365643
1.0346272,1575838800,5592.62390063,1.03873453,1.0338,1.03380002
1.0348808,1575842400,5350.06201396,1.036,1.0344395,1.0344999
1.0409347,1575846000,6254.12311492,1.0447,1.0335884,1.0347521
1.0358808,1575849600,5357.304,1.0437286,1.0358808,1.0436055
1.0362451,1575853200,5232.15,1.0376176,1.0355419,1.0362244
1.0369268,1575856800,5284.17,1.0376268,1.0354819,1.0370265
1.0374454,1575860400,5499.522,1.0375913,1.0355617,1.0375508
1.0374537,1575864000,5328.657,1.0376223,1.035485,1.0369768
1.0369817,1575867600,6964.5478795,1.045,1.0350201,1.0374523
1.0355779,1575871200,5584.69968769,1.0392661,1.033115,1.0381836
1.0367363,1575874800,5482.63578685,1.03931985,1.0343407,1.03514494
1.0371618,1575878400,5547.70032136,1.03931985,1.0348376,1.0367978
1.0380764,1575882000,5925.19464841,1.04,1.03311505,1.0359289
1.03612802,1575885600,5701.34465854,1.043999,1.03311507,1.0371082
1.0427236,1575889200,5600.65774002,1.043999,1.03350001,1.0374641
1.03595999,1575892800,5774.57319652,1.04389998,1.03510004,1.0392326
1.0393924,1575896400,7056.0684227,1.045,1.0333,1.0359568
1.0369077,1575900000,5531.82111532,1.0449999,1.0351506,1.03992578
1.038876,1575903600,5866.64131857,1.039999,1.03500001,1.0376501
1.0390278,1575907200,5800.89388373,1.0409936,1.0363509,1.0380488
1.0396016,1575910800,7455.424,1.045,1.0358702,1.0400074
1.04328686,1575914400,7670.61899899,1.045,1.03847466,1.0399861
1.042,1575918000,7123.05872009,1.045,1.037,1.0412016
1.0412607,1575921600,5453.65401719,1.0435337,1.037542,1.0428964
1.0411359,1575925200,5325.82706398,1.0427874,1.03947202,1.0427006
1.0413599,1575928800,5354.98245286,1.043,1.039856,1.0413572
1.0411749,1575932400,5148.35838655,1.043,1.03916352,1.0415906
1.0411519,1575936000,5551.17771868,1.0426557,1.03910591,1.0420907
1.04027285,1575939600,5172.20774912,1.0425578,1.0383994,1.0401133
1.0402466,1575943200,5388.66071489,1.04299999,1.0381983,1.0426222
1.0411729,1575946800,6395.01752227,1.043,1.0389383,1.0408954
1.0397803,1575950400,5270.33402952,1.04290315,1.03760002,1.0384482
1.0423653,1575954000,5320.44411,1.0427448,1.0380796,1.0405436
1.0395235,1575957600,5150.29537351,1.04319186,1.0379,1.0410238
1.0393696,1575961200,5365.0795017,1.0402176,1.0379,1.0397544
1.0423464,1575964800,5268.4414418,1.0425313,1.0381811,1.0387798
1.0401738,1575968400,5395.298832,1.04319186,1.0378,1.0394359
1.0393493,1575972000,5248.59611215,1.04318974,1.03773141,1.0397892
1.04249102,1575975600,5447.22306839,1.04249102,1.037,1.0395082
1.0365303,1575979200,6146.44685785,1.04229095,1.035,1.040114
1.0376753,1575982800,5496.957,1.0413051,1.0369122,1.0380605
1.0389705,1575986400,5123.83911,1.0410962,1.0357965,1.0390623
1.0382959,1575990000,5221.36927759,1.04188156,1.0360895,1.0384353
1.0369291,1575993600,5217.84018508,1.04118962,1.0369034,1.0383969
1.04154756,1575997200,6521.24720293,1.04414069,1.036928,1.0369284
1.0392822,1576000800,5549.84334718,1.0448456,1.0387242,1.04433
1.0433464,1576004400,5384.20657171,1.04449977,1.0389363,1.0421853
1.0428675,1576008000,6117.3480803,1.0445,1.0392115,1.0404055
1.04449999,1576011600,5392.28846312,1.0445,1.04000024,1.0426727
1.0430954,1576015200,6433.30909251,1.0445,1.038233,1.04449999
1.0394765,1576018800,5434.56333928,1.04449998,1.0385784,1.0433605
1.040745,1576022400,5553.21879291,1.0445,1.03888881,1.0413978
1.042509,1576026000,5198.98080561,1.04299974,1.03823687,1.0417244
1.0399387,1576029600,5361.795,1.0425822,1.0388468,1.0391908
1.0395437,1576033200,5435.271,1.0424785,1.0387214,1.0407414
1.0410762,1576036800,5300.442,1.0425026,1.0389231,1.042222
1.0392475,1576040400,5240.583,1.0425825,1.0387295,1.0387295
1.0401975,1576044000,5208.723,1.042515,1.038837,1.0411335
1.0424571,1576047600,5325.530676,1.0433768,1.03823255,1.041567
1.0395138,1576051200,5407.60895262,1.04399999,1.03881,1.0415002
1.0416183,1576054800,5407.94013342,1.044,1.0388307,1.0391855
1.039455,1576058400,5361.165,1.0426064,1.0387698,1.0409569
1.0411914,1576062000,5270.418,1.0425944,1.0387744,1.0402391
1.038526,1576065600,5433.33572022,1.04309675,1.03822785,1.0393496
1.0390897,1576069200,5223.087,1.039098,1.0389344,1.0389344
1.0423542,1576072800,5534.10992136,1.0430967,1.03906155,1.0390803
1.0431954,1576076400,5455.91532438,1.0448,1.0399639,1.0405596
1.0423737,1576080000,5227.89618454,1.0442736,1.0399685,1.041386
1.0427174,1576083600,5348.90230209,1.0439,1.0399475,1.0411942
1.040277,1576087200,5375.097,1.0434147,1.0400446,1.0414784
1.04175,1576090800,5608.18680169,1.0439,1.03960052,1.042823
1.0414421,1576094400,5188.25774953,1.04399999,1.0402143,1.0428334
1.0405381,1576098000,7519.61895732,1.045,1.0403985,1.0423208
1.0410542,1576101600,5198.19776022,1.0442994,1.039601,1.0418634
1.0412985,1576105200,5273.235,1.0445718,1.0405592,1.0432839
1.044423,1576108800,5478.06181688,1.04499999,1.03960287,1.0418451
1.0422988,1576112400,6509.89267521,1.045,1.040218,1.0404048
1.0435662,1576116000,5358.82003424,1.04499999,1.0402188,1.0443648
1.0432128,1576119600,5252.29670371,1.04499972,1.03960415,1.041867
1.0428134,1576123200,5324.463,1.044566,1.0406932,1.0436289
1.0429276,1576126800,5686.25679193,1.04499918,1.0404632,1.0404632
1.0427257,1576130400,6323.74296915,1.045,1.0405188,1.04209582
1.0441155,1576134000,14129.49482925,1.0592,1.041713,1.0446389
1.0430735,1576137600,6250.61661863,1.0454694,1.03960052,1.0434416
1.0409038,1576141200,6010.34191453,1.04550153,1.03981544,1.0441825
1.0399296,1576144800,5983.00724502,1.0443996,1.0396005,1.0425414
1.04399999,1576148400,5364.88008104,1.04399999,1.039745,1.0403913
1.0407135,1576152000,5336.63094838,1.04399999,1.0401663,1.0415818
1.0407932,1576155600,5587.1238625,1.04479062,1.0397,1.0403824
1.048,1576159200,7500.04818727,1.048,1.03970107,1.0420776
1.044265,1576162800,9550.87558626,1.0499605,1.044265,1.0472492
1.0447653,1576166400,5625.95060944,1.0473,1.03970103,1.0436207
1.0436182,1576170000,5347.7968522,1.04729998,1.0430358,1.0462452
1.0473,1576173600,5670.79935404,1.0473,1.0430096,1.0453038
1.0462739,1576177200,5365.10400557,1.0489279,1.0437787,1.0462424
1.0476976,1576180800,5645.63278706,1.05,1.0436434,1.04728
1.0467008,1576184400,5498.622,1.0492606,1.0433627,1.043373
1.045678,1576188000,6570.88484145,1.0507812,1.0433725,1.0492603
1.0448661,1576191600,5369.0399167,1.0501759,1.0446259,1.0500607
1.0471903,1576195200,5378.35,1.0502439,1.04110002,1.0485038
1.0486154,1576198800,5281.41679309,1.0492493,1.0406,1.0466402
1.0478575,1576202400,5284.575,1.0490896,1.0440261,1.0488733
1.0447214,1576206000,5485.9463824,1.04957696,1.0401,1.0487808
1.0471643,1576209600,5553.38763875,1.04895479,1.0418147,1.0470939
1.0454387,1576213200,5615.658,1.05210168,1.0421407,1.0444411
1.04999979,1576216800,4988.557,1.04999979,1.0441268,1.04843299
1.0498022,1576220400,5537.00700036,1.05210168,1.04610002,1.0499998
1.0529535,1576224000,6844.72293532,1.05899999,1.0476667,1.0495096
1.0447904,1576227600,5975.06909198,1.0573442,1.044,1.0545422
1.0455172,1576231200,5217.65919515,1.04659597,1.04400002,1.0455063
1.045373,1576234800,5268.32887714,1.0528256,1.0444849,1.0450746
1.0478623,1576238400,5409.47769204,1.04865674,1.04401002,1.0481418
1.0511183,1576242000,5722.0563695,1.0511183,1.0452162,1.0455419
1.0453064,1576245600,8229.107803,1.0521575,1.0449715,1.0521575
1.0468518,1576249200,5420.60796171,1.05177144,1.04401,1.0484363
1.04967104,1576252800,7182.03216555,1.05177144,1.04653875,1.0488599
1.05177135,1576256400,7105.55426062,1.05177142,1.044,1.0499136
1.0467845,1576260000,6062.41573375,1.05177142,1.0458928,1.0494333
1.0481884,1576263600,5140.607,1.0511401,1.046,1.0511117
1.0489485,1576267200,5437.872,1.0511228,1.0466223,1.0505792
1.0479445,1576270800,5232.92517712,1.05096,1.044,1.0495499
1.0473422,1576274400,5375.38199038,1.04999999,1.0448393,1.0489464
1.0463541,1576278000,5513.42679167,1.0491911,1.04310001,1.0459718
1.0452361,1576281600,5426.633,1.04999999,1.0437969,1.0468196
1.0490518,1576285200,5331.06,1.0490518,1.0437912,1.0439665
1.0486861,1576288800,5182.89113412,1.0492738,1.04310001,1.0491429
1.0463727,1576292400,5388.189,1.0491754,1.04310001,1.0447587
1.0492362,1576296000,5374.818,1.0493099,1.0439275,1.0491273
1.0459557,1576299600,5265.58,1.0491768,1.04310001,1.0441956
1.0472362,1576303200,5265.684,1.0491661,1.0438029,1.0446285
1.0453383,1576306800,5199.25178105,1.05169997,1.0449361,1.0481669
1.0470215,1576310400,5334.54934227,1.0489325,1.04310002,1.0485448
1.0485393,1576314000,5440.47309614,1.04999999,1.0437141,1.0478973
1.04749999,1576317600,5561.24836653,1.04999999,1.04310004,1.04599764
1.0481244,1576321200,5598.3737493,1.0492143,1.04310002,1.0446137
1.048646,1576324800,6437.37871557,1.04999998,1.0435003,1.0462448
1.0493957,1576328400,5333.3130005,1.0493957,1.0446434,1.046
1.0469839,1576332000,5674.41370035,1.04999999,1.044,1.0485352
1.0477306,1576335600,5551.35199152,1.050459,1.04401003,1.0473609
1.046913,1576339200,5392.116,1.0502696,1.0448155,1.0460609
1.0471663,1576342800,5453.05747478,1.051,1.0447128,1.0467964
1.0487386,1576346400,5431.677,1.05099999,1.0447193,1.0468904
1.0498891,1576350000,5162.805,1.0506273,1.0447151,1.0477682
1.0489758,1576353600,5805.55223461,1.051,1.0483855,1.0497505
1.050107,1576357200,5335.92222547,1.0507903,1.0486466,1.0493757
1.0498248,1576360800,5497.10811711,1.051,1.0495131,1.049537
1.0502992,1576364400,5316.94690926,1.051,1.0484342,1.0495449
1.0490185,1576368000,6352.62299761,1.051,1.0484121,1.0486578
1.0502585,1576371600,5134.06494478,1.051,1.0486412,1.0492457
1.049715,1576375200,5378.49701347,1.0507076,1.04864127,1.0495017
1.0508336,1576378800,5354.5416066,1.051,1.0494846,1.0500599
1.0559014,1576382400,8719.64875453,1.05899999,1.0503913,1.0504628
1.0551456,1576386000,5382.96231791,1.05738224,1.0497297,1.0554645
1.0532766,1576389600,6184.2735642,1.0571033,1.0488542,1.0565131
